lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
2.0,1.11,0.89,20244,370386672.0,411129205.91999996,384935607.0,26193598.919999957,6.804670299050808
2.0,1.105,0.895,20358,371741663.0,410774537.615,384935607.0,25838930.61500001,6.712533251048414
2.0,1.1,0.9,20471,372112922.0,409324214.20000005,384935607.0,24388607.200000048,6.335762853967419
2.0,1.095,0.905,20585,373658697.0,409156273.215,384935607.0,24220666.214999974,6.292134521865611
2.0,1.09,0.91,20699,374696886.0,408419605.73999995,384935607.0,23483998.73999995,6.100760312360487
2.0,1.085,0.915,20813,375340130.0,407244041.05,384935607.0,22308434.050000012,5.795367756145264
2.0,1.08,0.92,20926,375635427.0,405686261.16,384935607.0,20750654.160000026,5.39068191735248
2.0,1.075,0.925,21040,376213265.0,404429259.875,384935607.0,19493652.875,5.0641334603789945
2.0,1.07,0.93,21154,376842166.0,403221117.61999995,384935607.0,18285510.619999945,4.750277783473522
2.0,1.065,0.935,21268,378204986.0,402788310.09,384935607.0,17852703.089999974,4.6378414377238775
2.0,1.06,0.94,21381,378487651.0,401196910.06,384935607.0,16261303.060000002,4.224421634239728
2.0,1.055,0.945,21495,378970768.0,399814160.23999995,384935607.0,14878553.23999995,3.865205756348744
2.0,1.05,0.95,21609,379870473.0,398863996.6499999,384935607.0,13928389.649999917,3.618368734072419
2.0,1.045,0.955,21722,380307864.0,397421717.88,384935607.0,12486110.879999995,3.2436882047131466
2.0,1.04,0.96,21836,380946118.0,396183962.72,384935607.0,11248355.720000029,2.9221395774904346
2.0,1.035,0.965,21950,381779142.0,395141411.97,384935607.0,10205804.970000029,2.651301876056378
2.0,1.03,0.97,22064,383444565.0,394947901.95,384935607.0,10012294.949999988,2.601031125187636
2.0,1.025,0.975,22177,383879094.0,393476071.34999996,384935607.0,8540464.349999964,2.218673511801139
2.0,1.02,0.98,22291,384154806.0,391837902.12,384935607.0,6902295.120000005,1.7931038320391002
2.0,1.015,0.985,22405,384339621.0,390104715.31500006,384935607.0,5169108.315000057,1.3428501341524512
2.0,1.01,0.99,22519,384782658.0,388630484.58,384935607.0,3694877.5799999833,0.9598690047917469
2.0,1.005,0.995,22632,384866297.0,386790628.48499995,384935607.0,1855021.4849999547,0.4819043630328368
2.0,1.0,1.0,22746,384935607.0,384935607.0,384935607.0,0.0,0.0
