n_reps,opps_covered,revenue_retained,gross_margin_retained,sales_effort_cost,commission_cost,acquisition_cost,serving_cost,salesforce_cost,net_margin,net_margin_vs_baseline,revenue_share_retained,contribution_share_of_baseline,cost_share_of_baseline,marginal_revenue_last_batch,marginal_cost_last_rep,marginal_roi,baseline_reps,baseline_cost,baseline_revenue,baseline_gross_margin,baseline_effort_cost,baseline_commission_cost,baseline_acquisition_cost,baseline_serving_cost,baseline_total_cost,baseline_contribution
63,6300,224166191.0,146987423.68,8505000.0,15691633.370000001,12974300.0,17933295.28,55104228.650000006,91883195.03,-28785951.28,0.5823472469773366,0.7614472948532456,0.4161660335262529,1037496.25,736988.75,1.4077504575205524,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
64,6400,225828175.0,148104718.7,8640000.0,15807972.250000002,13184850.0,18066254.0,55699076.25,92405642.44999999,-28263503.860000014,0.5866648106679307,0.7657768806336721,0.42065852661270875,522447.42000000004,594847.6,0.8782878505351623,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
65,6500,228791628.0,150118906.73999998,8775000.0,16015413.96,13367850.0,18303330.240000002,56461594.2,93657312.53999996,-27011833.77000004,0.5943633788079262,0.7761496240256277,0.4264173236872427,1251670.0900000003,762517.95,1.6414959018341804,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
66,6600,230904421.0,151554243.86,8910000.0,16163309.470000003,13601300.0,18472353.68,57146963.15,94407280.71000001,-26261865.599999994,0.5998520708425916,0.7823647021374208,0.43159346505445434,749968.1699999999,685368.95,1.0942546638565986,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
67,6700,233269362.0,153030470.94,9045000.0,16328855.340000002,13791200.0,18661548.96,57826604.300000004,95203866.63999999,-25465279.670000017,0.6059958023057087,0.7889661073379974,0.43672634811163735,796585.9299999998,679641.15,1.1720684216957726,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
68,6800,234326706.0,153706576.01999998,9180000.0,16402869.420000002,13986800.0,18746136.48,58315805.900000006,95390770.11999997,-25278376.190000027,0.6087426097736913,0.7905149993763967,0.4404209663733285,186903.47999999998,489201.6,0.38205819441310085,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
69,6900,234980432.0,154146614.92000002,9315000.0,16448630.24,14201050.0,18798434.560000002,58763114.800000004,95383500.12000002,-25285646.189999983,0.610440883428069,0.790454751995668,0.44379919659693573,-7269.999999999942,447308.9,-0.016252750615961233,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
70,7000,236489890.0,155144108.36,9450000.0,16554292.3,14385950.0,18919191.2,59309433.5,95834674.86000001,-24834471.449999988,0.6143622094175352,0.79419369234452,0.4479251827869305,451174.7400000001,546318.7,0.8258453170283209,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
71,7100,238354485.0,156365350.8,9585000.0,16684813.950000001,14565900.0,19068358.8,59904072.75,96461278.05000001,-24207868.25999999,0.6192061234802838,0.799386429752227,0.4524161023427299,626603.19,594639.25,1.053753498444645,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
72,7200,239645116.0,157221192.06,9720000.0,16775158.120000001,14786900.0,19171609.28,60453667.400000006,96767524.66,-23901621.650000006,0.6225589725712228,0.8019243329310001,0.4565668296306574,306246.61,549594.65,0.5572226913053101,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
