lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
1.5,1.3675,0.265,6028,299839869.0,410031020.85749996,384935607.0,25095413.857499957,6.519379709526318
1.5,1.365,0.27,6141,301955985.0,412169919.525,384935607.0,27234312.524999976,7.075030740141419
1.5,1.3625,0.275,6255,305725401.0,416550858.8625,384935607.0,31615251.862500012,8.21312741341178
1.5,1.36,0.28,6369,307984873.0,418859427.28,384935607.0,33923820.27999997,8.812855881113645
1.5,1.3575,0.285,6483,309857195.0,420631142.2125,384935607.0,35695535.212499976,9.273118558891834
1.5,1.355,0.29,6596,311915001.0,422644826.355,384935607.0,37709219.35500002,9.796240895688314
1.5,1.3525,0.295,6710,312941337.0,423253158.2925,384935607.0,38317551.29250002,9.954275623169373
1.5,1.35,0.3,6824,315000698.0,425250942.3,384935607.0,40315335.30000001,10.473267363910033
1.5,1.3475,0.305,6938,316559347.0,426563720.08250004,384935607.0,41628113.08250004,10.814305646320754
1.5,1.345,0.31,7051,318084434.0,427823563.73,384935607.0,42887956.73000002,11.141592502768916
1.5,1.3425,0.315,7165,322087757.0,432402813.77250004,384935607.0,47467206.77250004,12.331207066666616
1.5,1.34,0.32,7279,323898259.0,434023667.05999994,384935607.0,49088060.05999994,12.752278346648227
1.5,1.3375,0.325,7392,325754769.0,435697003.53749996,384935607.0,50761396.537499964,13.186983904427407
1.5,1.335,0.33,7506,327340115.0,436999053.525,384935607.0,52063446.524999976,13.525235280455616
1.5,1.3325,0.335,7620,329546204.0,439120316.83,384935607.0,54184709.82999998,14.076304931177752
1.5,1.33,0.34,7734,330780813.0,439938481.29,384935607.0,55002874.29000002,14.288850729779345
1.5,1.3275,0.345,7847,331941353.0,440652146.1075,384935607.0,55716539.10750002,14.47424922358509
1.5,1.325,0.35,7961,334048642.0,442614450.65,384935607.0,57678843.649999976,14.984023977288219
